"charlson_group","german","english"
1,"Myokardinfarkt","Myocardial Infarction"
2,"Herzinsuffizienz","Congestive Heart Failure"
3,"Periphere Gefäßerkrankung","Peripheral Vascular Disease"
4,"Zerebrovaskuläre Erkrankung","Cerebrovascular Disease"
5,"Demenz","Dementia"
6,"Chronische Lungenerkrankung","Chronic Pulmonary Disease"
7,"Rheumatische Erkrankung","Rheumatic Disease"
8,"Magengeschwür","Peptic Ulcer Disease"
9,"Leichte Lebererkrankung","Mild Liver Disease"
10,"Diabetes ohne chronische Komplikationen","Diabetes without chronic complication"
11,"Diabetes mit chronischen Komplikationen","Diabetes with chronic complication"
12,"Hemiplegie oder Paraplegie","Hemiplegia or paraplegia"
13,"Nierenerkrankung","Renal Disease"
14,"Jede bösartige Erkrankung, einschließlich Lymphom und Leukämie, mit Ausnahme von bösartigen Neubildungen der Haut","Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin"
15,"Mittelschwere oder schwere Lebererkrankung","Moderate or Severe Liver Disease"
16,"Metastasierter solider Tumor","Metastatic Solid Tumor"
17,"AIDS/HIV","AIDS/HIV"
